Qualis	Ano da Produção	Autor01	Autor01-Cat	Autor02	Autor02-Cat	Autor03	Autor03-Cat	Autor04	Autor04-Cat	Autor05	Autor05-Cat	Autor06	Autor06-Cat	Autor07	Autor07-Cat	Autor08	Autor08-Cat	Autor09	Autor09-Cat	Autor10	Autor10-Cat	Autor11	Autor11-Cat	Autor12	Autor12-Cat	Autor13	Autor13-Cat	Autor14	Autor14-Cat	Autor15	Autor15-Cat	Autor16	Autor16-Cat	Autor17	Autor17-Cat	Autor18	Autor18-Cat	Autor19	Autor19-Cat	Autor20	Autor20-Cat	Autor21	Autor21-Cat	Autor22	Autor22-Cat	Autor23	Autor23-Cat	Autor24	Autor24-Cat	Autor25	Autor25-Cat	Autor26	Autor26-Cat	Autor27	Autor27-Cat	Autor28	Autor28-Cat	Autor29	Autor29-Cat	Autor30	Autor30-Cat	Autor31	Autor31-Cat	Autor32	Autor32-Cat	Autor33	Autor33-Cat	Autor34	Autor34-Cat	Autor35	Autor35-Cat	Autor36	Autor36-Cat	Autor37	Autor37-Cat	Autor38	Autor38-Cat	Autor39	Autor39-Cat	Autor40	Autor40-Cat	Autor41	Autor41-Cat	Autor42	Autor42-Cat	Autor43	Autor43-Cat	Autor44	Autor44-Cat	Autor45	Autor45-Cat	Autor46	Autor46-Cat	Cidade	Cidade do evento	DOI	Divulgação	Edição / Número	Fascículo	IES Nome	IES Sigla	ISBN/ISSN	ISSN / Título do periódico	Idioma	Linha de Pesquisa	Natureza	Nome da editora	Nome do PPG	Nome do evento	Número da página final	Número da página inicial	Número do DOI	Observação	País	Produção Glosada?	Programa	Projeto de Pesquisa	Subtipo da Produção	Série	Tipo da Produção	Título da Produção	Título dos Anais	URL	URL do DOI	Volume	Área de Avaliação	Área de Concentração
C	2018.0	ANA MARIA TAGLIARI FLORIO	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE ESTADUAL DE CAMPINAS	UNICAMP		1808-1142 / (1808-1142) 5% ARQUITETURA + ARTE	Português	TEORIA E METODOLOGIA DO PROJETO E DA CIDADE	Completo	-	Arquitetura, Tecnologia e Cidade		76	61		-		Não	33003017095P7	Investigação de Projetos não construídos de Vilanova Artigas por meio de tecnologias digitais	ARTIGO EM PERIÓDICO	16	BIBLIOGRÁFICA	UMA METODOLOGIA DE PESQUISA EM PROJETO DE ARQUITETURA A PARTIR DE ARQUIVOS DIGITALIZADOS DA BIBLIOTECA DA FAUUSP		[http://revista5.arquitetonica.com/index.php/periodico-1/ciencias-sociais-aplicadas/uma-metodologia-de-pesquisa-em-projeto-de-arquitetura-a-partir-de-arquivos-digitalizados-da-biblioteca-da-fauusp]		16	ARQUITETURA, URBANISMO E DESIGN	ARQUITETURA, TECNOLOGIA E CIDADE
C	2018.0	ANA MARIA TAGLIARI FLORIO	Docente	EUNICE HELENA SGUIZZARDI ABASCAL	Sem Categoria																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE ESTADUAL DE CAMPINAS	UNICAMP		2447-617X / (2447-617X) REVISTA PROJETAR - PROJETO E PERCEPÇÃO DO AMBIENTE	Português	ARQUITETURA: FUNDAMENTOS, METODOLOGIA E PROJETO	Completo	-	Arquitetura, Tecnologia e Cidade		34	23		-		Não	33003017095P7	The Natural House. Um Tratado Moderno da Arquitetura Orgânica de Frank Lloyd Wright Tradução comentada para língua portuguesa - Brasil	ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	WORKSHOP FRANK LLOYD WRIGHT: ENTRE TEORIA E PROJETO. UMA EXPERIÊNCIA DIDÁTICA		[http://www.revistaprojetar.ct.ufrn.br/index.php/revprojetar/article/view/278/104]		3	ARQUITETURA, URBANISMO E DESIGN	ARQUITETURA, TECNOLOGIA E CIDADE
B2	2018.0	ROGERIO CATTELAN ANTOCHEVES DE LIMA	Docente	ALESSANDRO ALVES	Participante Externo	GIHAD MOHAMAD	Docente	LARISSA DEGLIUOMINI KIRCHHOF	Participante Externo	ALMIR BARROS DA SILVA SANTOS NETO	Participante Externo																																																																																			-		10.1590/s1517-707620180003.0525	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		1517-7076 / (1517-7076) MATÉRIA (UFRJ)	Inglês	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		-	e-12191		-		Não	42002010161P2	Análise da Reação ao Fogo e do Tempo de Resistência ao Fogo de Sistemas Construtivos Estruturados em Perfis Leves de Aço com Fechamento em Chapas Delgadas	ARTIGO EM PERIÓDICO	3	BIBLIOGRÁFICA	ASSESS OF HOLLOW CLAY BLOCK MASONRY WALLETS UNDER HIGH TEMPERATURE		[http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762018000300444&lng=pt&nrm=iso&tlng=en]		23	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
B2	2018.0	GIANE DE CAMPOS GRIGOLETTI	Docente	PRISCILA GIORGI	Sem Categoria	ROGERIO CATTELAN ANTOCHEVES DE LIMA	Docente	LUCIANI SOMENSI LORENZI	Sem Categoria																																																																																					-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		1517-7076 / (1517-7076) MATÉRIA (UFRJ)	Português	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		13	1		-		Não	42002010161P2	Estudos Analíticos e Avaliativos de Eficiência Energética, Desempenho Ambiental e Conforto ambiental do Ambiente Construído	ARTIGO EM PERIÓDICO	3	BIBLIOGRÁFICA	AVALIAÇÃO DA SUSTENTABILIDADE E HABITABILIDADE DE BLOCOS DE SOLO-CIMENTO SEGUNDO A NORMA ABNT NBR 15575		[http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1517-707620180003&lng=pt&nrm=iso]		23	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
B2	2018.0	ROGERIO CATTELAN ANTOCHEVES DE LIMA	Docente	JOAQUIM CESAR PIZZUTTI DOS SANTOS	Participante Externo	MAURO FERNANDES	Sem Categoria	MATHEUS SONEGO TEMP	Sem Categoria																																																																																					-		10.1590/s1517-707620180003.0493	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		1517-7076 / (1517-7076) MATÉRIA (UFRJ)	Português	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		-	10.1590/S1517-7		-		Não	42002010161P2	Estudos Analíticos e Avaliativos de Eficiência Energética, Desempenho Ambiental e Conforto ambiental do Ambiente Construído	ARTIGO EM PERIÓDICO	3	BIBLIOGRÁFICA	COMPORTAMENTO ÓTICO DE VIDROS E POLICARBONATOS TRANSLÚCIDOS FRENTE À RADIAÇÃO SOLAR		[http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-70762018000300412&lng=pt&nrm=iso&tlng=pt]		23	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
B4	2018.0	MINEIA JOHANN SCHERER	Docente	FABIO SEVERO DA ROSA	Participante Externo																																																																																									Curitiba / PR		"10.3895/gi.v14n2.6916	"	OUTRO		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		1808-0448 / (1808-0448) REVISTA GESTÃO INDUSTRIAL (ONLINE)	Português	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		113	96		-		Não	42002010161P2	Ecotécnicas Verdes e seus Benefícios ao Ambiente Construído: Coberturas Vivas e Jardins Verticais	ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	DESEMPENHO TÉRMICO DE PAREDES DE ALVENARIA PROTEGIDAS COM REVESTIMENTO DE COMPÓSITOS DE RESÍDUOS AGRÍCOLAS		https://periodicos.utfpr.edu.br/revistagi/search/search?simpleQuery=DESEMPENHO+T%C3%89RMICO+DE+PAREDES+DE+ALVENARIA+&searchField=title		12	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
B3	2018.0	MINEIA JOHANN SCHERER	Docente	ALVES, THALES SEVERO	Sem Categoria	REDIN, JANAÍNA	Sem Categoria																																																																																							Passo Fundo / RS		10.18256/2318-1109.2018.v7i1.2693	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		2318-1109 / (2318-1109) REVISTA DE ARQUITETURA IMED	Português	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		101	84		-		Não	42002010161P2	Ecotécnicas Verdes e seus Benefícios ao Ambiente Construído: Coberturas Vivas e Jardins Verticais	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	ENVOLTÓRIAS VEGETADAS APLICADAS EM EDIFICAÇÕES: BENEFÍCIOS E TÉCNICAS		[doi:10.18256/2318-1109.2018.v7i1.2693]		7	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
B3	2018.0	ANDREA VALLI NUMMER	Docente	RINALDO JOSE BARBOSA PINHEIRO	Participante Externo	BARONI, M.	Sem Categoria	SCHNEIDER, I.T.	Sem Categoria																																																																																					Rio de Janeiro		10.11137/2018_1_212_221	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		0101-9759 / (0101-9759) ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO)	Português	PLANEJAMENTO, PROJETO E FUNDAMENTOS DO AMBIENTE CONSTRUÍDO	Completo	UFRJ	ARQUITETURA, URBANISMO E PAISAGISMO 		221	212		-		Não	42002010161P2	Análise ambiental integrada do meio físico em ambientes urbanos e rurais	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	EVALUATION OF THE HYDRAULIC CONDUCTIVITY OF THE GEOLOGICAL-GEOTECHNICAL UNITS OF SANTA MARIA (RS) WITH THE USE PIEZOMETERS		[doi:10.11137/2018_1_212_221]		41	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
A1	2018.0	ROGERIO CATTELAN ANTOCHEVES DE LIMA	Docente	THIAGO BRAZEIRO CARLOS	Sem Categoria	JOÃO PAULO CORREIA RODRIGUES	Sem Categoria	DHIONIS DHIMA	Sem Categoria																																																																																					-		10.1016/j.compstruct.2018.01.094	VÁRIOS		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		0263-8223 / (0263-8223) COMPOSITE STRUCTURES	Inglês	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		528	516		-		Não	42002010161P2	Análise da Reação ao Fogo e do Tempo de Resistência ao Fogo de Sistemas Construtivos Estruturados em Perfis Leves de Aço com Fechamento em Chapas Delgadas	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	EXPERIMENTAL ANALYSIS ON FLEXURAL BEHAVIOUR OF RC BEAMS STRENGTHENED WITH CFRP LAMINATES AND UNDER FIRE CONDITIONS		-		189	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
C	2018.0	LUIS GUILHERME AITA PIPPI	Docente	RENATA MICHELON COCCO	Discente - Mestrado	Letícia de Castro Gabriel	Sem Categoria	Ana Paula Nogueira	Sem Categoria	Letícia de Fátima Durlo Coutinho	Sem Categoria																																																																																			São Paulo		-	HIPERTEXTO		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		2175-6708 / (2175-6708) ENTREVISTA	português	PLANEJAMENTO, PROJETO E FUNDAMENTOS DO AMBIENTE CONSTRUÍDO	Completo	Vitruvius	ARQUITETURA, URBANISMO E PAISAGISMO 		-	-		-		Não	42002010161P2	Metodologia de Análise e Inventário dos Espaços Livres Públicos na Paisagem Natural e Construída de Santa Maria	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	JOSÉ TABACOW: RELATOS EM ARQUITETURA PAISAGÍSTICA		http://www.vitruvius.com.br/revistas/read/entrevista/19.076/7177		1	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
B1	2018.0	GIANE DE CAMPOS GRIGOLETTI	Docente	Gerusa Lazarotto	Sem Categoria	Cássio Arthur Wollmann	Sem Categoria																																																																																							-		10.14393/SN-v30n2-2018-7-X	MEIO DIGITAL		2	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		1982-4513 / (1982-4513) SOCIEDADE & NATUREZA (UFU. ONLINE)	Português	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		163	140		-		Não	42002010161P2	Estudos Analíticos e Avaliativos de Eficiência Energética, Desempenho Ambiental e Conforto ambiental do Ambiente Construído	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	MICROCLIMA URBANO DE ÁREAS RESIDENCIAIS NO PERÍODO NOTURNO: ESTUDO EM SANTA MARIA, RS		http://www.seer.ufu.br/index.php/sociedadenatureza/search/search?simpleQuery=grigoletti&searchField=query		30	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
C	2018.0	CARYL EDUARDO JOVANOVICH LOPES	Docente	TARCÍSIO DORN DE OLIVEIRA	Sem Categoria																																																																																									-		10.26512/mgraph.v3i3.19762	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		2448-1246 / (2448-1246) METAGRAPHIAS	Português	PLANEJAMENTO, PROJETO E FUNDAMENTOS DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		17	1		-		Não	42002010161P2	Consumo e patrimônio cultural	ARTIGO EM PERIÓDICO	3	BIBLIOGRÁFICA	MONUMENTO, MONUMENTALIDADE, VALOR E PODER: INTERAÇÕES COM A MEMÓRIA E PRESERVAÇÃO ARQUITETÔNICA		[http://periodicos.unb.br/index.php/metagraphias/article/view/28835/21599]		3	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
B3	2018.0	GIHAD MOHAMAD	Docente	FERNANDO SOARES DA FONSECA	Sem Categoria	VERMELTFOORT, A. T.	Sem Categoria	ANDRÉ LÜBECK	Sem Categoria																																																																																					-		10.1590/s1983-4195201800020004	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		1983-4195 / (1983-4195) REVISTA IBRACON DE ESTRUTURAS E MATERIAIS	Português	TECNOLOGIAS E SUSTENTABILIDADE DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		295	279		-		Não	42002010161P2	Educação Tecnológica	ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	STIFFNESS PLASTICITY DEGRADATION OF MASONRY MORTAR UNDER COMPRESSION: PRELIMINAR RESULTS		[http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952018000200279&lng=en&nrm=iso&tlng=en][doi:10.1590/s1983-4195201800020004]		11	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
NA	2018.0	RICARDO DE SOUZA ROCHA	Docente																																																																																											-		10.1590/1982-02672018v26e07	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE SANTA MARIA	UFSM		1982-0267 / (1982-0267) ANAIS DO MUSEU PAULISTA	Português	PLANEJAMENTO, PROJETO E FUNDAMENTOS DO AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA, URBANISMO E PAISAGISMO 		-	1		-		Não	42002010161P2	Arquitetura e Processos de Transformação Urbana	ARTIGO EM PERIÓDICO	0	BIBLIOGRÁFICA	TROPICALISMO E (IN)DISCIPLINA: GREGORI WARCHAVCHIK E WLADIMIRO ACOSTA		[http://www.scielo.br/pdf/anaismp/v26/1982-0267-anaismp-26-e07.pdf]		26	ARQUITETURA, URBANISMO E DESIGN	Paisagem Cultural e Sustentabilidade
C	2018.0	NIVALDO VIEIRA DE ANDRADE JUNIOR	Docente	ANA CAROLINA DE SOUZA BIERRENBACH	Participante Externo	GIACOMO PIRAZZOLI	Participante Externo																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		1982-9922 / (1982-9922) MINHA CIDADE	Português		Completo	-	CECRE - Conservação e Restauração		1	1		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	A HERANÇA DE LINA BO BARDI EM SALVADOR, BAHIA. TRÊS ARQUITETOS DEBATEM QUESTÕES SOBRE CONSERVAÇÃO E OUTRAS MAIS		[http://www.vitruvius.com.br/revistas/read/minhacidade/19.220/7172]		220	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	RODRIGO ESPINHA BAETA	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		1982-0569 / (1982-0569) URBANA - REVISTA ELETRÔNICA DO CENTRO INTERDISCIPLINAR DE ESTUDOS DA CIDADE	Português	HISTÓRIA DA CIDADE E DO URBANISMO	Completo	-	CECRE - Conservação e Restauração		103	54		-		Não	28001010077P5	INTERFACES ENTRE A ARQUITETURA RELIGIOSA E A CONSTRUÇÃO DA PAISAGEM URBANA BARROCA NO BRASIL COLONIAL	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	A PAISAGEM URBANA DAS CIDADES HISPANO-AMERICANAS E SUAS TRANSFORMAÇÕES NO SÉCULO XVIII		[http://https://periodicos.sbu.unicamp.br/ojs/index.php/urbana/article/view/8651022/pdf]		10	ARQUITETURA, URBANISMO E DESIGN	CONSERVAÇÃO E RESTAURO
C	2018.0	NIVALDO VIEIRA DE ANDRADE JUNIOR	Docente																																																																																											-		-	VÁRIOS		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		1808-6586 / (1808-6586) PROJETO DESIGN	Português		Completo	-	CECRE - Conservação e Restauração		127	126		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	4461	BIBLIOGRÁFICA	ARQUITETURA PARA TODOS!		[http://https://www.arcoweb.com.br/projetodesign/arquitetura/colunas-arquitetura-para-todos]		1	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	FEDERICO CALABRESE	Docente	ANA CAROLINA DE SOUZA BIERRENBACH	Participante Externo																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		2409-3823 / (2409-3823) [C]COMPASSESWORLD: THE ARCHITECTURE AND INTERIOR DESIGN INTERNATIONAL NETWORK | MIDDLE EAST	Inglês		Completo	-	CECRE - Conservação e Restauração		107	102		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	10	BIBLIOGRÁFICA	CRISTALLERIES PLANELLS CIVIC CENTER		-		27	ARQUITETURA, URBANISMO E DESIGN	CONSERVAÇÃO E RESTAURO
C	2018.0	NIVALDO VIEIRA DE ANDRADE JUNIOR	Docente	GIACOMO PIRAZZOLI	Participante Externo	ANA CAROLINA DE SOUZA BIERRENBACH	Participante Externo																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		2284-1369 / (2284-1369) IL GIORNALE DELL'ARCHITETTURA	Italiano		Completo	-	CECRE - Conservação e Restauração		1	1		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	DIALOGANDO SULL?EREDITÀ (MISCONOSCIUTA) DI LINA BO BARDI A SALVADOR DI BAHIA		[http://ilgiornaledellarchitettura.com/web/2018/07/11/dialogando-sulleredita-misconosciuta-di-lina-bo-bardi-a-salvador-di-bahia]		1723	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	FEDERICO CALABRESE	Docente	ANA CAROLINA DE SOUZA BIERRENBACH	Participante Externo																																																																																									-		-	IMPRESSO		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		2409-3823 / (2409-3823) [C]COMPASSESWORLD: THE ARCHITECTURE AND INTERIOR DESIGN INTERNATIONAL NETWORK | MIDDLE EAST	Inglês		Completo	-	CECRE - Conservação e Restauração		-	88		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	DRAWING TIME: THE NEW 'SALA BECKETT'. THEATER AND DRAMA CENTER AT POBLE NOU IN BARCELONA.		-		28	ARQUITETURA, URBANISMO E DESIGN	CONSERVAÇÃO E RESTAURO
A1	2018.0	ROSANA MUNOZ	Docente	LOURENÇO, PAULO B.	Sem Categoria	MOREIRA, SUSANA	Sem Categoria																																																																																							-		10.1016/j.conbuildmat.2017.12.090	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		0950-0618 / (0950-0618) CONSTRUCTION & BUILDING MATERIALS	Inglês		Completo	-	CECRE - Conservação e Restauração		655	643		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	EXPERIMENTAL RESULTS ON MECHANICAL BEHAVIOUR OF METAL ANCHORS IN HISTORIC STONE MASONRY		[doi:10.1016/j.conbuildmat.2017.12.090]		163	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	NIVALDO VIEIRA DE ANDRADE JUNIOR	Docente	GIACOMO PIRAZZOLI	Participante Externo	ANA CAROLINA DE SOUZA BIERRENBACH	Participante Externo																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		1552-8081 / (1552-8081) ARCHPAPER	Inglês		Completo	-	CECRE - Conservação e Restauração		1	1		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	LINA?S LEGACY: LINA BO BARDI?S BRAZILIAN MASTERWORKS ARE IN DANGER OF BEING LOST		[http://https://archpaper.com/2018/10/lina-bo-bardi-preservation]		1	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	MARCIO CORREIA CAMPOS	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		1809-6298 / (1809-6298) ARQUITEXTOS (SÃO PAULO)	Português		Completo	-	CECRE - Conservação e Restauração		-	7034		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	218	BIBLIOGRÁFICA	NAS ENCOSTAS DOS VALES. VARIAÇÕES DO TIPO NA ARQUITETURA MULTIRRESIDENCIAL EM SALVADOR, BAHIA.		[http://www.vitruvius.com.br/revistas/read/arquitextos/19.218/7034]		19	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	NIVALDO VIEIRA DE ANDRADE JUNIOR	Docente																																																																																											-		-	VÁRIOS		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		2448-3885 / (2448-3885) MÓBILE - REVISTA DO CONSELHO DE ARQUITETURA E URBANISMO DE SÃO PAULO	Português		Completo	-	CECRE - Conservação e Restauração		23	20		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	12	BIBLIOGRÁFICA	O IAB RUMO AO 27º CONGRESSO MUNDIAL DE ARQUITETOS ? UIA2020RIO		[http://https://issuu.com/causp_oficial/docs/mobile12_site]		1	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	MARCIA GENESIA DE SANT ANNA	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		1516-9111 / (1516-9111) PAPERS DO NAEA (UFPA)	Português		Completo	-	CECRE - Conservação e Restauração		12	5		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	383	BIBLIOGRÁFICA	O PATRIMÔNIO CULTURAL FRENTE ÀS GRANDES INTERVENÇÕES URBANAS E PARCERIAS PÚBLICO-PRIVADAS		[http://www.naea.ufpa.br/naea/novosite/paper/461]		1	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	MÁRIO MENDONCA DE OLIVEIRA	Docente																																																																																											-		-	IMPRESSO		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		1984-3690 / (1984-3690) REVISTA DACULTURA	Português		Completo	-	CECRE - Conservação e Restauração		68	54		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	Ano XVII	BIBLIOGRÁFICA	O RESGATE DE UM SISTEMA FORTIFICADO MEMORÁVEL		-		30	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	RODRIGO ESPINHA BAETA	Docente	JULIANA CARDOSO NERY	Docente																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DA BAHIA	UFBA		2317-4625 / (2317-4625) FIGURA. STUDI SULL`IMMAGINE NELLA TRADIZIONE CLASSICA	Português		Completo	-	CECRE - Conservação e Restauração		164	129		-		Não	28001010077P5		ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	SYLVIO DE VASCONCELLOS: A INFLUÊNCIA DE LÚCIO COSTA E A CRÍTICA MODERNISTA À ARQUITETURA COLONIAL EM MINAS GERAIS		[http://www.figura.art.br/images/2018_2/2018_62_articles_5_baeta_nery.pdf]		6	ARQUITETURA, URBANISMO E DESIGN	
C	2018.0	DIEGO PAIM SILVEIRA	Discente - Mestrado Profissional	NEWTON CELIO BECKER DE MOURA	Docente	RAFAELA PONTE LISBOA	Docente																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE DE FORTALEZA	UNIFOR		2359-1552 / (2359-1552) REVISTA POLÍTICAS PÚBLICAS & CIDADES	Português		Completo	-	CIÊNCIAS DA CIDADE		240	234		-		Não	22002014011P0		ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	A INEVITÁVEL ABORDAGEM DO URBANISMO PAISAGÍSTICO ? MELHORES PRÁTICAS DE MANEJO - NO ENSINO ACADÊMICO NO BRASIL		[http://periodico.revistappc.com/index.php/RPPC/article/view/234]		7	ARQUITETURA, URBANISMO E DESIGN	
A1	2018.0	ERNESON ALVES DE OLIVEIRA	Docente																																																																																											-		10.1098/rsos.180468	MEIO DIGITAL		-	UNIVERSIDADE DE FORTALEZA	UNIFOR		2054-5703 / (2054-5703) ROYAL SOCIETY OPEN SCIENCE	Inglês		Completo	-	CIÊNCIAS DA CIDADE		-	180468		-		Não	22002014011P0		ARTIGO EM PERIÓDICO	5	BIBLIOGRÁFICA	A WORLDWIDE MODEL FOR BOUNDARIES OF URBAN SETTLEMENTS		-		5	ARQUITETURA, URBANISMO E DESIGN	
A3	2018.0	ANDRE GADELHA DE OLIVEIRA	Docente																																																																																											-		10.5004/dwt.2018.22736	VÁRIOS		-	UNIVERSIDADE DE FORTALEZA	UNIFOR		1944-3994 / (1944-3994) DESALINATION AND WATER TREATMENT (PRINT)	Português	"2.	Ciências e tecnologias de cidades"	Completo	-	CIÊNCIAS DA CIDADE		152	146		-		Não	22002014011P0	REUSO DIRETO DAS CORRENTES LÍQUIDAS DE BANHOS DE TINGIMENTO TÊXTIL POR CÉLULA ELETROLÍTICA OPERANDO POR CAMPO ELÉTRICO UNIFORMEMENTE VARIADO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	APPLICATION OF ELECTRO-OXIDATION BY DIRECT AND PULSED CURRENT ASSOCIATED TO OZONATION ON RAW WATER TREATMENT		[doi:10.5004/dwt.2018.22736]		124	ARQUITETURA, URBANISMO E DESIGN	CIÊNCIAS DA CIDADE
